from_station_gen,to_station_name,long,lat
Delhi,Jammu Tawi,74.3107212,33.3773471
Delhi,Ahmedabad Junction,72.5800000,23.0300000
Delhi,Rajendra Nagar Bihar,85.1647866,25.6053291
Delhi,Ranchi Junction,85.9987331,22.9655604
Delhi,Ranchi Junction,85.9987331,22.9655604
Delhi,Mumbai Central,72.8227449,18.9756984
Delhi,Mumbai Central,72.8227449,18.9756984
Delhi,Kolkata Howrah Junction,88.3638950,22.5726460
Delhi,Kolkata Sealdah,88.3720000,22.5680000
Delhi,Bilaspur Junction,82.1676240,22.0571979
Delhi,Kolkata Howrah Junction,88.3638950,22.5726460
Delhi,Secunderabad Junction,78.5022280,17.4332580
Delhi,Bhubaneswar,85.8245398,20.2960587
Delhi,Bhubaneswar,85.8245398,20.2960587
Delhi,Guwahati,91.7355511,26.1471290
Delhi,Chennai Central,80.2742100,13.0836340
Delhi,Bangalore City Junction,77.5685757,12.9777803
Delhi,Bangalore City Junction,77.5685757,12.9777803
Delhi,Dibrugarh Town,94.9119621,27.4728327
Delhi,Dibrugarh Town,94.9119621,27.4728327
Delhi,Dibrugarh,94.9119621,27.4728327
Delhi,Trivandrum Central,76.9898676,8.5339492
