type,zone,from_station_gen,from_station_name,to_station_name,lat_long,lat_long_string,long,lat,departure,arrival,duration,number_of_halts,distance,speed,departure_days,name
Exp,NR,Delhi,New Delhi,Rohtak Junction,"28.8911221,76.5789844","28.8911221,76.5789844",76.5789844,28.8911221,0.440972222,0.53125,2.166666667,4,72,33.2,SMTWTFS,New Delhi-Rohtak Express
Exp,NR,Delhi,Old Delhi,Panipat Junction,"29.3891542,76.9637660","29.3891542,76.9637660",76.963766,29.3891542,0.229166667,0.347222222,2.833333333,3,89,31.4,SMTWTFS,Delhi-Panipat Special
Klkt,ER,Kolkata,Kolkata Sealdah,Krishnanagar City,"23.4008744,88.5013962","23.4008744,88.5013962",88.5013962,23.4008744,0.711805556,0.8125,2.416666667,27,99,41,SMTWTFS,Sealdah KNJ Ladies Special
Klkt,SER,Kolkata,Kolkata Howrah Junction,Kharagpur Junction,"22.3408782,87.3258378","22.3408782,87.3258378",87.3258378,22.3408782,0.767361111,0.881944444,2.75,32,115,41.8,SMTWTFS,Howrah Kharagpur Ladies Special
SF,ER,Kolkata,Kolkata Howrah Junction,Bolpur Shantiniketan,"23.6800000,87.6800000","23.6800000,87.6800000",87.68,23.68,0.423611111,0.517361111,2.25,2,146,64.9,SMTWTFS,Shantiniketan Express
Exp,SR,Chennai,Chennai Central,Tirupati Main,"13.6284184,79.3875396","13.6284184,79.3875396",79.3875396,13.6284184,0.267361111,0.395833333,3.083333333,6,151,49,SMTWTFS,Saptagiri Express
Exp,SR,Chennai,Chennai Central,Tirupati Main,"13.6284184,79.3875396","13.6284184,79.3875396",79.3875396,13.6284184,0.576388889,0.708333333,3.166666667,6,151,47.7,SMTWTFS,Tirupati Express
Exp,SWR,Chennai,Chennai Central,Tirupati Main,"13.6284184,79.3875396","13.6284184,79.3875396",79.3875396,13.6284184,0.690972222,0.836805556,3.5,8,151,43.1,SMTWTFS,Garudadri Express
Exp,ER,Kolkata,Kolkata Howrah Junction,Bolpur Shantiniketan,"23.6800000,87.6800000","23.6800000,87.6800000",87.68,23.68,0.447916667,0.572916667,3,3,158,52.7,SMTWTFS,Howrah Bolpur KaviGuru Express
Exp,ER,Kolkata,Kolkata Chitpur,Berhampore Court,"24.0893317,88.2629521","24.0893317,88.2629521",88.2629521,24.0893317,0.854166667,0.013888889,3.833333333,6,182,47.5,S-T-T--,Kolkata Berhampore Court Express
